slang:
gak = tidak
gk = tidak
nggk = tidak
ky = seperti
kya = seperti
klo = jika
kalo = jika
kalau = jika
kl = jika
ya = iya
iy = iya
iyak = iya
gt = gitu
gtu = gitu
gituh = gitu
kn = kan
kmrin = kemarin
digalakkan = disebarkan
sy = saya
gw = saya
gua = saya
gue = saya
w = saya
gwa = saya
sya = saya
aj = saja
gaada = tidak ada
gada = tidak ada
gda = tidak ada
gakada = tidak ada
biar = agar
sdh = sudah
udah = sudah
udh = sudah
meinjemin = meminjamkan
pny = punya
sudh = sudah
tau = tahu
pinjol = pinjaman online
remana = remaja
kebijkaan = kebijakan
mencadangkan = mencanangkan
seharus = harus
masarakat = masyarakat
guna = berguna
brpa = berapa
brp = berapa
jln = jalan
jadi tau = jadi tahu
conto = contoh
mainset = mindset
omon omon = omong-omong
lbh jauh = lebih jauh
rmh = rumah
dengannada = dengan nada
dr dlu = dari dulu
nih = ini
dah = sudah
kaya = seperti
dll = dan lain-lain
tpi = tapi
di beri = diberi
klo = kalau
trpidana = terpidana
melangar = melanggar
knpa = kenapa
diem aja = diam saja
yac = ya
msh = masih
byk = banyak
d urusin = diurusin
gausah = tidak usah
bacod = bacot
pake = pakai
bae = saja
oga = tidak mau
bro = saudara
menyimbangi = menyeimbangi
bener = benar
gagal paham = salah paham
cuma = hanya
ngidupin = menghidupi
yng = yang
kakan = akan
juatru = justru
kpd = kepada
ngak = tidak
mks = makasih
gblk = bodoh
sdg = sedang
shrusnya = seharunya
lpngan = lapangan
bkn = bukan
sma = sama
pakah = apakah
tuk = untuk
berpungsi = berfungsi
seperi = seperti
tw = atau
berdapak = berdampak
krana = karena
jgn = jangan
krna = karena
lbih = lebih
tdk = tidak
cba = coba
dgn = dengan
lainya = lainnya
drpd = daripada
epek = efek
aniyaya = aniaya
biyaya = biaya
negri = negeri
trus = terus
indobesia = indonesia
dengner = dengar
cendrung = cenderung
jeoang = jepang
dg = dengan
dsana = disana
drpda = daripada
kading = terkadang
abis = habis
aja = saja
ajah = saja
ank  = anak
anu = itu
apalg = apalagi
adu = haduh
aduh = haduh
bikin = buat
banyk = banyak
bapa = bapak
bener = bener
best = baik
aya = ada
aia = saja
aing = saya
aink = saya
bgitu = begitu
bgtu = begitu
bhkn = bahkan
blm = belum 
bnyak = banyak
rb = ribu
tatataapi  = tapi
nopolnya  = nomor polisi nya
pula  = juga
sprot = sport
kek  = kaya
tol.ol = bodoh
krn = karena
tp = tapi
bnyk = banyak
jd = jadi
utk = untuk
yg = yang
py = punya
ga = tidak
drmh = di rumah
org = orang
jga = juga 
udh = udah
bgt = banget
nggak = tidak
lebi = lebih
bgs = bagus
masala = masalah
dri = dari
blm = belum
puoll = banget
wlpn = walaupun
g = tidak
pdhl = padahal
dr = dari
pnya = punya
intinta = intinya
th = tahun
y = ya
gw = saya 
pengok = penyok
peyok = penyok
kriangat = keringat
bs = bisa
nongki = nongkrong
n = dan
kl = kalau
 wkwkwk = haha
emg = emang
jt = juta
taon = tahun
seh = sih
ndasmu = kepalamu
dpt = dapet
dlm = dalam
hrg = harga
kyk = seperti
 kao = kamu
nyaaaaa = nya
yaelaahhh = ya ampun
kayaaaa = kaya
bg = bang
cm = hanya
sama2  = sama-sama
lbh = lebih
kere = miskin
jls  = jelas
ajg = bodoh
dihitung2  = di hitung-hitung
memeek..= umpatan
klw = kalau
paham2 = paham-paham
ayo2  = ayo-ayo
pantat = umpatan
tololll = umpatan
ttp = tetap
tmbah = tambah
tolol = umpatan
org  = orang
"anjing!!!!  = umpatan
"
taeekk = umpatan
wkwkkwkwk asyuuu = umpatan
misk*n = miskin
mbl = mobil
mobkas = mobil bekas
mokas = mobil bekas
 loe = kamu
anjirlah = umpatan
preeeet = umpatan
